,bid_id,bid_id_header,message_timestamp,message_sender,pii_cleaned_message,Note,category,agent1_labels,agent2_labels,agent3_labels,majority_vote,union_vote,message,is_follow_up,time_since_last_message,days_since_last_message,hours_since_last_message,is_first_message,contains_regex,predicted
1300,59056073,,2017-11-10 20:42:57.979684,Pro,"Hi, [PERSON_NAME]!  Have you found a cake vendor yet?  If so, let us know so we can tailor our communications appropriately.  If not, let us know you the best of delicious cake and great service!
To schedule your tasting, click the link below.
https://sugarshakerbakery.acuityscheduling.com/schedule.php?appointmentType=1852968
 Our tasting includes 4 flavor combinations and a 45-minute consultation for up to four guests at our commercial kitchen.   
You can find a listing of our flavors at http://www.sugarshakerbakery.com/flavor-listing/",,Wedding Cakes,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value', 'Job Details'}","{'Follow-up', 'null_value', 'Job Details'}","{'Job Details', 'Scheduling - Meeting or Job', 'Follow-up'}","{'Job Details', 'Scheduling - Meeting or Job', 'Follow-up'}","Hi, James!  Have you found a cake vendor yet?  If so, let us know so we can tailor our communications appropriately.  If not, let us know you the best of delicious cake and great service!
To schedule your tasting, click the link below.
https://sugarshakerbakery.acuityscheduling.com/schedule.php?appointmentType=1852968
 Our tasting includes 4 flavor combinations and a 45-minute consultation for up to four guests at our commercial kitchen.   
You can find a listing of our flavors at http://www.sugarshakerbakery.com/flavor-listing/",1,30 days 05:52:40.087054000,30.0,725.88,False,1,0
29,42530966,,2017-05-04 20:12:49.891208,Customer,Hi [PERSON_NAME]! Are you available July 1st?,,DJ,"{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}",{'Scheduling - Meeting or Job'},{'Scheduling - Meeting or Job'},Hi Marlon! Are you available July 1st?,0,205 days 05:31:08.787305000,205.0,4925.52,False,1,0
3578,61599498,,2017-07-26 16:44:13.113270,Pro,"Hello, would you like [PERSON_NAME][LOCATION]  to schedule a massage for you this week?",,Massage Therapy,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up'}","{'Scheduling - Meeting or Job', 'Follow-up'}","Hello, would you like Shan Paul Massage  to schedule a massage for you this week?",1,26 days 08:04:34.048949000,26.0,632.08,False,1,0
13919,61913985,,2017-09-06 19:48:56.458453,Pro,Could you give me your e-mail address?  I'd like to invite you to a concert I'm in.,,Violin Lessons (for adults),"{'null_value', 'Contact Information'}","{'null_value', 'Contact Information'}","{'null_value', 'Contact Information'}",{'Contact Information'},{'Contact Information'},Could you give me your e-mail address?  I'd like to invite you to a concert I'm in.,0,63 days 20:20:36.314831000,63.0,1532.34,False,1,0
2619,60498142,,2017-10-10 18:58:21.838357,Pro,"Hi [PERSON_NAME] wanted to get in touch with you and see if you still need anything for your event.  Please feel free to contact me if you have any questions. 

- Steven
[LOCATION]
www.[LOCATION].com",,MC and Host Services,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Location', 'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},"{'Location', 'Scheduling - Meeting or Job', 'Follow-up'}","Hi Peter  I wanted to get in touch with you and see if you still need anything for your event.  Please feel free to contact me if you have any questions. 

- Steven
Magical Memories Entertainment
www.mme123.com",1,35 days 19:09:01.299752000,35.0,859.15,False,1,1
7096,59949215,,2017-10-30 17:23:06.080421,Pro,"Hi [PERSON_NAME],

I'd really appreciate you taking a few minutes to write a review of my work that I can include on my Thumbtack profile. Reviews are important because they help me get new customers.

Thanks in advance!",,Wedding and Event Makeup,"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","Hi Livia,

I'd really appreciate you taking a few minutes to write a review of my work that I can include on my Thumbtack profile. Reviews are important because they help me get new customers.

Thanks in advance!",0,138 days 21:14:37.012245000,138.0,3333.24,False,1,0
6598,59429504,,2017-07-01 16:55:20.830390,Pro,"Hi [PERSON_NAME],

I hope this day finds you well. 

You recently reached out to Thumbtack, and it states that you are still in need of catering services.  If so, I would like to discuss your event and our services in greater detail.  Please drop me a line and let me know when we can review your catering needs.  

If you have decided not to hire a caterer at this time or no longer need our services, please inform me and I will stop trying to reach you.

Please respond to this e-mail or call me at [PHONE_NUMBER].  I hope to hear from you soon.
 
Thank You,                                                
Diane                                                  
Event Planner                                      
Raymond’s Catering                          
Tel: [PHONE_NUMBER]
Email: [EMAIL_ADDRESS]
Website:
www.RaymondsCatering.com",,Wedding and Event Catering,"{'null_value', 'Follow-up', 'Contact Information'}","{'null_value', 'Follow-up', 'Contact Information'}","{'null_value', 'Follow-up', 'Contact Information'}","{'Follow-up', 'Contact Information'}","{'Follow-up', 'Contact Information'}","Hi Melinda,

I hope this day finds you well. 

You recently reached out to Thumbtack, and it states that you are still in need of catering services.  If so, I would like to discuss your event and our services in greater detail.  Please drop me a line and let me know when we can review your catering needs.  

If you have decided not to hire a caterer at this time or no longer need our services, please inform me and I will stop trying to reach you.

Please respond to this e-mail or call me at 610-960-2074.  I hope to hear from you soon.
 
Thank You,                                                
Diane                                                  
Event Planner                                      
Raymond’s Catering                          
Tel: 610-960-2074
Email: RaymondsCatering@aol.com
Website:
www.RaymondsCatering.com",1,24 days 01:59:35.053949000,24.0,577.99,False,1,0
6123,58775583,,2017-08-20 15:39:20.023934,Pro,"[PERSON_NAME], We offer (Free Estimates)! 
   Have you chosen a service to clean your home? If you have not hired someone and or still looking for service we look forward to working with you! We would like to extend our best deal of the year to you! We can set up your first cleaning if you are unable to meet for a consultation. If you would like to schedule a free consultation with us, we can come to your home and show you what will be covered on each cleaning, discuss scheduling, etc. If you can’t meet then we can discuss details over the phone. We would love to answer any questions you may have. When would you like your first cleaning? 
Thanks!
Sweep Away
[PHONE_NUMBER]
[LOCATION].com",,House Cleaning,"{'Scheduling - Meeting or Job', 'null_value', 'Follow-up', 'Contact Information'}","{'Scheduling - Meeting or Job', 'Price', 'null_value', 'Follow-up', 'Contact Information'}","{'Scheduling - Meeting or Job', 'Price', 'null_value', 'Follow-up', 'Contact Information'}","{'Follow-up', 'Scheduling - Meeting or Job', 'Price', 'Contact Information'}","{'Scheduling - Meeting or Job', 'Price', 'Follow-up', 'Contact Information'}","Pam, We offer (Free Estimates)! 
   Have you chosen a service to clean your home? If you have not hired someone and or still looking for service we look forward to working with you! We would like to extend our best deal of the year to you! We can set up your first cleaning if you are unable to meet for a consultation. If you would like to schedule a free consultation with us, we can come to your home and show you what will be covered on each cleaning, discuss scheduling, etc. If you can’t meet then we can discuss details over the phone. We would love to answer any questions you may have. When would you like your first cleaning? 
Thanks!
Sweep Away
919-880-3823
Sweepawayclean.com",1,72 days 16:09:11.018558000,72.0,1744.15,False,1,0
1136,58780152,,2017-07-18 14:38:15.972772,Pro,"Good Morning,

We would like to know if you have found someone to help you with your cleaning project. If not, we would love to do so. We have openings available for the following dates:
*Thursday, July 20th.
*Friday, July 21st. 

Please feel free to contact us if you have any questions. Thank you.",,Pressure Washing,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up'}","{'Scheduling - Meeting or Job', 'Follow-up'}","Good Morning,

We would like to know if you have found someone to help you with your cleaning project. If not, we would love to do so. We have openings available for the following dates:
*Thursday, July 20th.
*Friday, July 21st. 

Please feel free to contact us if you have any questions. Thank you.",1,17 days 19:59:14.860174000,17.0,427.99,False,1,1
12537,60249987,,2017-06-24 18:26:36.709465,Customer,"Hey [PERSON_NAME], not sure if you got my text. Drawer opening is 24&quote by 4 7/8&quote",,Window Repair,"{'null_value', 'Job Details'}","{'null_value', 'Job Details', 'Confirmation - Contact'}","{'null_value', 'Job Details'}",{'Job Details'},"{'Job Details', 'Confirmation - Contact'}","Hey Ron, not sure if you got my text. Drawer opening is 24&quote by 4 7/8&quote",0,16 days 18:09:26.364986000,16.0,402.16,False,1,0
