,bid_id,is_follow_up,message_timestamp,message_sender,message,category,days_since_last_message,contains_regex
372,57824277,1,2017-05-03 22:26:25.210248,Pro,"Hi, Serena. Please, let me know if you are interested. Thank you.",Local Moving (under 50 miles),0.0,1
7573,60598167,1,2017-06-14 04:28:23.122919,Customer,"Hi Alyssa, I'd like to get something scheduled for my dad. Please let me know your availability this week. Thank you, Renee",Massage Therapy,0.0,1
3757,61834645,1,2017-08-06 20:22:15.837336,Pro,Hey Emily I have your lawn scheduled for today if that works for you.,Lawn Mowing and Trimming,30.0,1
8421,61837229,1,2017-07-06 16:25:02.607790,Pro,I would still like to come out and take a look at that remodel if y'all are still wanting a plumber,Plumbing Pipe Installation or Replacement,5.0,1
3632,61664180,1,2017-07-04 13:37:33.170424,Pro,"Hello Jackeline,
How are you! Hope you have a great 4th of July, I just wanted to reach out to confirm our appointment for tomorrow at 12, and if you have any pictures of yourself or looks you would like to try I would really appreciate it, thanks again talk to you soon ☺",Wedding and Event Makeup,5.0,1
13789,61737418,1,2017-07-12 18:10:25.717573,Pro,"Hi Samuel, 

I just wanted to reach out to see if you are still in need of resume services and if you have any questions regarding the information provided. 

If you have a current resume, please feel free to share it with me for review. I would be happy to provide a free resume critique to share our recommendations and explain how we will go about creating a new, effective resume for you. 

Please feel free to attach here for review, or send directly to send my email address info@evolution-coaching.com 

We would love to help and could get started right away! :)",Resume Writing,2.0,1
8198,61457955,1,2017-07-09 16:38:47.987995,Pro,Hello Sujan were you still interested in training ? ,Personal Training,13.0,1
2503,60392300,1,2017-06-09 22:25:59.402275,Customer,Waiting to hear from you.,Pressure Washing,0.0,1
431,57873348,1,2017-05-04 03:26:15.023273,Pro,What happened????,Boudoir Photography,0.0,1
2576,60472240,1,2017-06-18 22:08:23.246027,Pro,"Hello Kim,

Just checking in again  to see if there is additional information I can provide you with or if you are still in the process of making a decision.  Or, if you have decided to go with another company, maybe you could take a minute to say what prompted the decision.  This will help my company now and in the future with our estimating process. 

Thanks so much for the opportunity,

Thomas DeRoos
Titan Roofing",Roof Installation or Replacement,3.0,1
10158,57631600,1,2017-09-06 16:57:29.113262,Pro,"Hello Donna, My name is Sam, from SAM3 A/V Installations, I'm just checking to see if you were able to have your TV mounted, if not give me a call at 678-994-9221. Have a wonderful day.",TV Mounting,60.0,1
1997,59957793,1,2017-06-06 20:56:28.546463,Pro,"Hello again Mont :) please let me know if you'd like to have a quick phone conference, to discuss your event needs in detail. Either way, I wish you great success with the wedding. Yours truly, Mike Milota",DJ,3.0,1
5389,57988660,1,2017-05-10 03:49:54.678256,Pro,Hello so sorry I'm getting back to you so late.. I will be available to come tomorrow anytime to give you a free estimate! ,House Cleaning,0.0,1
659,58144197,1,2017-06-16 14:04:21.734060,Customer,do you know what their status is?,House Cleaning,0.0,1
6264,59051633,1,2017-05-23 00:30:24.960846,Pro,Are you all set?,Furniture Delivery,2.0,1
11239,58648923,1,2017-05-22 00:20:03.924361,Pro,"Hello Patricia, have you been helped with this yet?  😊",Window Cleaning,6.0,1
9283,62912151,1,2017-07-15 20:12:42.464348,Pro,Have you come to any decision regarding this project?,Transcription,0.0,1
1914,59786905,1,2017-06-03 20:46:40.622567,Pro,Availability tomorrow,Pressure Washing,0.0,1
